37.5986 	EXP 	fixation: autoDraw = False
37.5986 	EXP 	grating: autoDraw = False
37.5986 	EXP 	grating: ori = 3.0
37.5986 	EXP 	fixation: autoDraw = True
38.0987 	EXP 	fixation: autoDraw = False
38.0987 	EXP 	grating: autoDraw = True
38.3989 	EXP 	grating: autoDraw = False
38.5336 	DATA 	Keypress: right
38.5484 	EXP 	fixation: autoDraw = False
38.5484 	EXP 	grating: autoDraw = False
38.5484 	EXP 	grating: ori = -3.0
38.5484 	EXP 	fixation: autoDraw = True
39.0322 	EXP 	fixation: autoDraw = False
39.0322 	EXP 	grating: autoDraw = True
39.3324 	EXP 	grating: autoDraw = False
39.6005 	DATA 	Keypress: left
39.6154 	EXP 	fixation: autoDraw = False
39.6154 	EXP 	grating: autoDraw = False
39.6154 	EXP 	grating: ori = 2.5
39.6154 	EXP 	fixation: autoDraw = True
40.1154 	EXP 	fixation: autoDraw = False
40.1154 	EXP 	grating: autoDraw = True
40.4152 	EXP 	grating: autoDraw = False
40.6017 	DATA 	Keypress: right
40.6148 	EXP 	fixation: autoDraw = False
40.6148 	EXP 	grating: autoDraw = False
40.6148 	EXP 	grating: ori = 2.5
40.6148 	EXP 	fixation: autoDraw = True
41.1150 	EXP 	fixation: autoDraw = False
41.1150 	EXP 	grating: autoDraw = True
41.4153 	EXP 	grating: autoDraw = False
41.5840 	DATA 	Keypress: right
41.6156 	EXP 	fixation: autoDraw = False
41.6156 	EXP 	grating: autoDraw = False
41.6156 	EXP 	grating: ori = 2.5
41.6156 	EXP 	fixation: autoDraw = True
42.1152 	EXP 	fixation: autoDraw = False
42.1152 	EXP 	grating: autoDraw = True
42.4154 	EXP 	grating: autoDraw = False
42.5507 	DATA 	Keypress: right
42.5652 	EXP 	fixation: autoDraw = False
42.5652 	EXP 	grating: autoDraw = False
42.5652 	EXP 	grating: ori = 2.0
42.5652 	EXP 	fixation: autoDraw = True
43.0484 	EXP 	fixation: autoDraw = False
43.0484 	EXP 	grating: autoDraw = True
43.3487 	EXP 	grating: autoDraw = False
43.4509 	DATA 	Keypress: right
43.4649 	EXP 	fixation: autoDraw = False
43.4649 	EXP 	grating: autoDraw = False
43.4649 	EXP 	grating: ori = 2.0
43.4649 	EXP 	fixation: autoDraw = True
43.9486 	EXP 	fixation: autoDraw = False
43.9486 	EXP 	grating: autoDraw = True
44.2484 	EXP 	grating: autoDraw = False
44.4835 	DATA 	Keypress: right
44.4982 	EXP 	fixation: autoDraw = False
44.4982 	EXP 	grating: autoDraw = False
44.4982 	EXP 	grating: ori = 2.0
44.4982 	EXP 	fixation: autoDraw = True
44.9821 	EXP 	fixation: autoDraw = False
44.9821 	EXP 	grating: autoDraw = True
45.2817 	EXP 	grating: autoDraw = False
45.4004 	DATA 	Keypress: right
45.4156 	EXP 	fixation: autoDraw = False
45.4156 	EXP 	grating: autoDraw = False
45.4156 	EXP 	grating: ori = 1.5
45.4156 	EXP 	fixation: autoDraw = True
45.8985 	EXP 	fixation: autoDraw = False
45.8985 	EXP 	grating: autoDraw = True
46.1984 	EXP 	grating: autoDraw = False
46.3004 	DATA 	Keypress: right
46.3148 	EXP 	fixation: autoDraw = False
46.3148 	EXP 	grating: autoDraw = False
46.3148 	EXP 	grating: ori = 1.5
46.3148 	EXP 	fixation: autoDraw = True
46.7991 	EXP 	fixation: autoDraw = False
46.7991 	EXP 	grating: autoDraw = True
47.0982 	EXP 	grating: autoDraw = False
47.2841 	DATA 	Keypress: right
47.2985 	EXP 	fixation: autoDraw = False
47.2985 	EXP 	grating: autoDraw = False
47.2985 	EXP 	grating: ori = 1.5
47.2985 	EXP 	fixation: autoDraw = True
47.7987 	EXP 	fixation: autoDraw = False
47.7987 	EXP 	grating: autoDraw = True
48.0988 	EXP 	grating: autoDraw = False
48.2507 	DATA 	Keypress: right
48.2655 	EXP 	fixation: autoDraw = False
48.2655 	EXP 	grating: autoDraw = False
48.2655 	EXP 	grating: ori = 1.0
48.2655 	EXP 	fixation: autoDraw = True
48.7651 	EXP 	fixation: autoDraw = False
48.7651 	EXP 	grating: autoDraw = True
49.0650 	EXP 	grating: autoDraw = False
49.3842 	DATA 	Keypress: left
49.3981 	EXP 	fixation: autoDraw = False
49.3981 	EXP 	grating: autoDraw = False
49.3981 	EXP 	grating: ori = 1.5
49.3981 	EXP 	fixation: autoDraw = True
49.8983 	EXP 	fixation: autoDraw = False
49.8983 	EXP 	grating: autoDraw = True
50.1984 	EXP 	grating: autoDraw = False
50.4511 	DATA 	Keypress: right
50.4651 	EXP 	fixation: autoDraw = False
50.4651 	EXP 	grating: autoDraw = False
50.4651 	EXP 	grating: ori = -1.5
50.4651 	EXP 	fixation: autoDraw = True
50.9647 	EXP 	fixation: autoDraw = False
50.9647 	EXP 	grating: autoDraw = True
51.2648 	EXP 	grating: autoDraw = False
51.5173 	DATA 	Keypress: left
51.5318 	EXP 	fixation: autoDraw = False
51.5318 	EXP 	grating: autoDraw = False
51.5318 	EXP 	grating: ori = 1.5
51.5318 	EXP 	fixation: autoDraw = True
52.0153 	EXP 	fixation: autoDraw = False
52.0153 	EXP 	grating: autoDraw = True
52.3154 	EXP 	grating: autoDraw = False
52.5835 	DATA 	Keypress: right
52.5983 	EXP 	fixation: autoDraw = False
52.5983 	EXP 	grating: autoDraw = False
52.5983 	EXP 	grating: ori = 1.0
52.5983 	EXP 	fixation: autoDraw = True
53.0817 	EXP 	fixation: autoDraw = False
53.0817 	EXP 	grating: autoDraw = True
53.3817 	EXP 	grating: autoDraw = False
53.6503 	DATA 	Keypress: right
53.6648 	EXP 	fixation: autoDraw = False
53.6648 	EXP 	grating: autoDraw = False
53.6648 	EXP 	grating: ori = 1.0
53.6648 	EXP 	fixation: autoDraw = True
54.1652 	EXP 	fixation: autoDraw = False
54.1652 	EXP 	grating: autoDraw = True
54.4649 	EXP 	grating: autoDraw = False
54.7838 	DATA 	Keypress: right
54.7984 	EXP 	fixation: autoDraw = False
54.7984 	EXP 	grating: autoDraw = False
54.7984 	EXP 	grating: ori = 1.0
54.7984 	EXP 	fixation: autoDraw = True
55.2982 	EXP 	fixation: autoDraw = False
55.2982 	EXP 	grating: autoDraw = True
55.5980 	EXP 	grating: autoDraw = False
55.8171 	DATA 	Keypress: right
55.8318 	EXP 	fixation: autoDraw = False
55.8318 	EXP 	grating: autoDraw = False
55.8318 	EXP 	grating: ori = -1.0
55.8318 	EXP 	fixation: autoDraw = True
56.3149 	EXP 	fixation: autoDraw = False
56.3149 	EXP 	grating: autoDraw = True
56.6153 	EXP 	grating: autoDraw = False
56.8663 	DATA 	Keypress: left
56.8989 	EXP 	fixation: autoDraw = False
56.8989 	EXP 	grating: autoDraw = False
56.8989 	EXP 	grating: ori = -1.0
56.8989 	EXP 	fixation: autoDraw = True
57.3979 	EXP 	fixation: autoDraw = False
57.3979 	EXP 	grating: autoDraw = True
57.6984 	EXP 	grating: autoDraw = False
57.8173 	DATA 	Keypress: left
57.8314 	EXP 	fixation: autoDraw = False
57.8314 	EXP 	grating: autoDraw = False
57.8314 	EXP 	grating: ori = -1.0
57.8314 	EXP 	fixation: autoDraw = True
58.3315 	EXP 	fixation: autoDraw = False
58.3315 	EXP 	grating: autoDraw = True
58.6319 	EXP 	grating: autoDraw = False
58.7005 	DATA 	Keypress: left
58.7151 	EXP 	fixation: autoDraw = False
58.7151 	EXP 	grating: autoDraw = False
58.7151 	EXP 	grating: ori = -1.0
58.7151 	EXP 	fixation: autoDraw = True
59.2150 	EXP 	fixation: autoDraw = False
59.2150 	EXP 	grating: autoDraw = True
59.5146 	EXP 	grating: autoDraw = False
59.6513 	DATA 	Keypress: left
59.6651 	EXP 	fixation: autoDraw = False
59.6651 	EXP 	grating: autoDraw = False
59.6651 	EXP 	grating: ori = -1.0
59.6651 	EXP 	fixation: autoDraw = True
60.1480 	EXP 	fixation: autoDraw = False
60.1480 	EXP 	grating: autoDraw = True
60.4482 	EXP 	grating: autoDraw = False
60.5518 	DATA 	Keypress: left
60.5648 	EXP 	fixation: autoDraw = False
60.5648 	EXP 	grating: autoDraw = False
60.5648 	EXP 	grating: ori = 1.0
60.5648 	EXP 	fixation: autoDraw = True
61.0651 	EXP 	fixation: autoDraw = False
61.0651 	EXP 	grating: autoDraw = True
61.3652 	EXP 	grating: autoDraw = False
61.5838 	DATA 	Keypress: left
61.5984 	EXP 	fixation: autoDraw = False
61.5984 	EXP 	grating: autoDraw = False
61.5984 	EXP 	grating: ori = 1.5
61.5984 	EXP 	fixation: autoDraw = True
62.0813 	EXP 	fixation: autoDraw = False
62.0813 	EXP 	grating: autoDraw = True
62.3814 	EXP 	grating: autoDraw = False
62.7501 	DATA 	Keypress: right
62.7645 	EXP 	fixation: autoDraw = False
62.7645 	EXP 	grating: autoDraw = False
62.7645 	EXP 	grating: ori = 1.5
62.7645 	EXP 	fixation: autoDraw = True
63.2482 	EXP 	fixation: autoDraw = False
63.2482 	EXP 	grating: autoDraw = True
63.5486 	EXP 	grating: autoDraw = False
63.7668 	DATA 	Keypress: left
63.7814 	EXP 	fixation: autoDraw = False
63.7814 	EXP 	grating: autoDraw = False
63.7814 	EXP 	grating: ori = 2.0
63.7814 	EXP 	fixation: autoDraw = True
64.2644 	EXP 	fixation: autoDraw = False
64.2644 	EXP 	grating: autoDraw = True
64.5650 	EXP 	grating: autoDraw = False
64.9171 	DATA 	Keypress: right
64.9317 	EXP 	fixation: autoDraw = False
64.9317 	EXP 	grating: autoDraw = False
64.9317 	EXP 	grating: ori = 2.0
64.9317 	EXP 	fixation: autoDraw = True
65.4150 	EXP 	fixation: autoDraw = False
65.4150 	EXP 	grating: autoDraw = True
65.7147 	EXP 	grating: autoDraw = False
66.0341 	DATA 	Keypress: right
66.0482 	EXP 	fixation: autoDraw = False
66.0482 	EXP 	grating: autoDraw = False
66.0482 	EXP 	grating: ori = 2.0
66.0482 	EXP 	fixation: autoDraw = True
66.5484 	EXP 	fixation: autoDraw = False
66.5484 	EXP 	grating: autoDraw = True
66.8478 	EXP 	grating: autoDraw = False
67.1665 	DATA 	Keypress: right
67.1815 	EXP 	fixation: autoDraw = False
67.1815 	EXP 	grating: autoDraw = False
67.1815 	EXP 	grating: ori = -1.5
67.1815 	EXP 	fixation: autoDraw = True
67.6650 	EXP 	fixation: autoDraw = False
67.6650 	EXP 	grating: autoDraw = True
67.9651 	EXP 	grating: autoDraw = False
68.1499 	DATA 	Keypress: left
68.1656 	EXP 	fixation: autoDraw = False
68.1656 	EXP 	grating: autoDraw = False
68.1656 	EXP 	grating: ori = 1.5
68.1656 	EXP 	fixation: autoDraw = True
68.6484 	EXP 	fixation: autoDraw = False
68.6484 	EXP 	grating: autoDraw = True
