staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
66,0.5,2.0,66.0481547000818,,66.03319430002011,66.0481547000818,66.54841920011677,66.54841920011677,66.54841920011677,66.84782120003365,67.16530600003898,right,2.0,1,1,0.6112788999453187,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
67,0.5,1.5,67.18152300012298,,67.16553140012547,67.18152300012298,67.66504280013032,67.66504280013032,67.66504280013032,67.96507339994423,68.14871560013853,left,-1.5,1,1,0.47832450014539063,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
68,0.5,1.5,68.16562270000577,,68.14889209996909,68.16562270000577,68.64842680003494,68.64842680003494,68.64842680003494,68.94874810008332,69.03305259998888,right,1.5,0,0,0.37641509994864464,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
69,0.5,2.0,69.04807889997028,,69.03329039993696,69.04807889997028,69.5480442000553,69.5480442000553,69.5480442000553,69.84793379995972,70.04867130005732,right,2.0,1,1,0.4861057000234723,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
70,0.5,2.0,70.06478619994596,,70.04885099991225,70.06478619994596,70.5477632000111,70.5477632000111,70.5477632000111,70.84804349998012,71.13185380003415,right,2.0,1,1,0.5764331000391394,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
71,0.5,2.0,71.14789830008522,,71.13203570013866,71.14789830008522,71.63162350002676,71.63162350002676,71.63162350002676,71.93127000005916,72.06729579996318,right,2.0,1,1,0.42853119992651045,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
72,0.5,1.5,72.08142290008254,,72.0674779000692,72.08142290008254,72.58158920006827,72.58158920006827,72.58158920006827,72.88161009992473,73.13231589994393,left,-1.5,1,1,0.5370169000234455,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
73,0.5,1.5,73.14854139997624,,73.13249460002407,73.14854139997624,73.63116730004549,73.63116730004549,73.63116730004549,73.93177710007876,74.03267340012826,right,1.5,0,0,0.3907126998528838,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
74,0.5,2.0,74.04832600010559,,74.03285429999232,74.04832600010559,74.54788760002702,74.54788760002702,74.54788760002702,74.8483543000184,75.08245879993774,right,2.0,1,1,0.5265115001238883,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
75,0.5,2.0,75.09807790000923,,75.08263890002854,75.09807790000923,75.5812041000463,75.5812041000463,75.5812041000463,75.8814868000336,75.98248230013996,right,2.0,1,1,0.3909795999061316,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
